#$Format     "X_Y1-Yn"
#$CAbscissa  "Time"
#$CUnitA     "ms"
#$COrdinate  "Acceleration"
#$CUnitO     "mm/(ms*ms)"
#
#$Legtxt     "[X-Y-Resultant-Acceleration]:B-pillar-sill Left -- Shopping-cart -- 10kmph -Side"
#$Itemid     "10050033"
#$Itemtype   "node"
#
        1.399960E+01        3.996320E-03
        1.409959E+01        1.745475E-03
        1.419958E+01        2.662957E-03
        1.429957E+01        2.811700E-03
        1.439956E+01        2.214584E-03
        1.449955E+01        2.682477E-03
        1.459954E+01        1.311316E-03
        1.469953E+01        1.888446E-03
        1.479952E+01        2.509369E-03
        1.489951E+01        3.358654E-03
        1.499950E+01        4.089803E-03
        1.509949E+01        3.186090E-03
        1.519948E+01        3.121068E-03
        1.529947E+01        3.550158E-03
        1.539946E+01        2.612500E-03
        1.549945E+01        1.779824E-03
        1.559944E+01        1.952522E-03
        1.569943E+01        1.421842E-03
        1.579942E+01        6.750149E-04
        1.589941E+01        1.353439E-03
        1.599940E+01        3.003759E-03
        1.609939E+01        2.713122E-03
        1.619938E+01        2.708528E-03
        1.629937E+01        2.959187E-03
        1.639936E+01        3.167283E-03
        1.649935E+01        3.375489E-03
        1.659934E+01        2.092099E-03
        1.669933E+01        2.532867E-03
        1.679932E+01        3.808044E-03
        1.689931E+01        3.038715E-03
        1.699930E+01        2.907287E-03
        1.709929E+01        2.012362E-03
        1.719928E+01        1.079791E-03
        1.729927E+01        2.905257E-03
        1.739926E+01        4.019124E-03
        1.749925E+01        4.779977E-03
        1.759924E+01        8.751770E-03
        1.769923E+01        5.277398E-03
        1.779922E+01        6.356812E-03
        1.789921E+01        1.910116E-03
        1.799920E+01        1.211713E-03
        1.809919E+01        1.418939E-03
        1.819918E+01        1.654762E-03
        1.829917E+01        1.947051E-03
        1.839916E+01        2.713458E-03
        1.849915E+01        3.267905E-03
        1.859914E+01        5.341922E-03
        1.869913E+01        7.975985E-03
        1.879912E+01        7.606633E-03
        1.889911E+01        6.439728E-03
        1.899910E+01        3.527100E-03
        1.909909E+01        6.807202E-03
        1.919908E+01        8.160657E-03
        1.929907E+01        9.716056E-03
        1.939906E+01        1.018001E-02
        1.949905E+01        6.202114E-03
        1.959904E+01        5.536948E-03
        1.970003E+01        8.175290E-03
        1.980002E+01        8.524241E-03
